fico,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_util,total_acc,annual_inc,emp_length,home_ownership,loan_amnt,int_rate,term,grade,purpose,state_gdp_2012,default,dti_w,annual_inc_w,loan_amnt_w,state_gdp_2012_w,log_income,log_state_gdp,fico_10,dti_5,loan_amnt_1000
692.0,24.84,0.0,1.0,0.0,95.2,18.0,50000.0,5 years,MORTGAGE,2000.0,14.65,36,C,home_improvement,445120.7,0,24.84,50000.0,2000.0,445120.7,10.819798284210286,13.006100760325612,69.2,4.968,2.0
662.0,15.07,0.0,1.0,0.0,87.7,35.0,79000.0,5 years,RENT,4000.0,16.29,36,C,debt_consolidation,445120.7,0,15.07,79000.0,4000.0,445120.7,11.277215789596893,13.006100760325612,66.2,3.0140000000000002,4.0
747.0,9.86,0.0,3.0,0.0,59.7,3.0,41000.0,< 1 year,RENT,3600.0,13.67,36,B,debt_consolidation,2144089.6,0,9.86,41000.0,3600.0,2144089.6,10.62135173563291,14.578225591344385,74.7,1.972,3.6
697.0,22.98,0.0,3.0,0.0,81.7,18.0,51947.0,9 years,RENT,1500.0,12.12,36,B,other,1410447.8,0,22.98,51947.0,1500.0,1410447.8,10.85799849722998,14.159417800586231,69.7,4.596,1.5
677.0,21.92,1.0,3.0,0.0,54.7,28.0,45000.0,,MORTGAGE,2000.0,13.99,36,C,moving,273593.9,0,21.92,45000.0,2000.0,273593.9,10.714439990727769,12.51940016916035,67.7,4.384,2.0
702.0,5.69,0.0,0.0,0.0,84.5,4.0,23000.0,6 years,RENT,1800.0,10.74,36,B,debt_consolidation,400623.3,1,5.69,23000.0,1800.0,400623.3,10.043292972227004,12.900776863278333,70.2,1.1380000000000001,1.8
687.0,18.69,0.0,2.0,0.0,54.8,30.0,70000.0,< 1 year,RENT,7200.0,19.99,36,E,debt_consolidation,127789.1,0,18.69,70000.0,7200.0,127789.1,11.156264806643742,11.758136527773347,68.7,3.7380000000000004,7.2
692.0,13.06,0.0,1.0,0.0,47.6,8.0,12500.0,8 years,RENT,5000.0,13.11,36,B,credit_card,107718.8,0,13.06,16000.0,5000.0,107718.8,9.680406499268875,11.58727940687091,69.2,2.612,5.0
687.0,26.34,0.0,1.0,0.0,11.8,60.0,37000.0,1 year,RENT,2400.0,19.99,36,E,credit_card,640663.1,0,26.34,37000.0,2400.0,640663.1,10.518700218288165,13.370259012711182,68.7,5.268,2.4
717.0,29.26,0.0,3.0,0.0,21.1,22.0,20143.0,2 years,RENT,1750.0,12.12,36,B,debt_consolidation,540882.4,0,29.26,20143.0,1750.0,540882.4,9.910661756284128,13.200957158968144,71.7,5.852,1.75
717.0,10.84,0.0,0.0,0.0,97.1,7.0,30000.0,6 years,OWN,10000.0,14.65,36,C,debt_consolidation,768722.9,1,10.84,30000.0,10000.0,768722.9,10.308985993422082,13.552485845448977,71.7,2.168,10.0
682.0,17.69,0.0,1.0,0.0,76.8,26.0,23000.0,4 years,RENT,1525.0,18.55,60,D,other,768722.9,0,17.69,23000.0,1525.0,768722.9,10.043292972227004,13.552485845448977,68.2,3.5380000000000003,1.525
702.0,1.16,0.0,1.0,0.0,87.6,5.0,150000.0,10+ years,RENT,12000.0,18.25,60,D,debt_consolidation,1323400.8,1,1.16,150000.0,12000.0,1323400.8,11.918397239722838,14.095715345063464,70.2,0.23199999999999998,12.0
697.0,5.45,0.0,2.0,0.0,45.1,20.0,50000.0,5 years,MORTGAGE,4000.0,12.12,36,B,credit_card,1410447.8,0,5.45,50000.0,4000.0,1410447.8,10.819798284210286,14.159417800586231,69.7,1.09,4.0
682.0,13.56,0.0,1.0,0.0,73.1,22.0,30000.0,1 year,MORTGAGE,3000.0,13.67,36,B,other,268861.9,1,13.56,30000.0,3000.0,268861.9,10.308985993422082,12.501953143858227,68.2,2.712,3.0
757.0,1.6,0.0,0.0,0.0,9.7,41.0,45000.0,6 years,RENT,4000.0,6.03,36,A,credit_card,1323400.8,0,1.6,45000.0,4000.0,1323400.8,10.714439990727769,14.095715345063464,75.7,0.32,4.0
682.0,20.1,2.0,0.0,0.0,94.5,33.0,95000.0,10+ years,MORTGAGE,3000.0,13.11,36,B,home_improvement,445120.7,0,20.1,95000.0,3000.0,445120.7,11.461642696843066,13.006100760325612,68.2,4.0200000000000005,3.0
712.0,20.87,0.0,2.0,0.0,25.1,11.0,18000.0,< 1 year,RENT,4000.0,14.65,60,C,other,176323.1,0,20.87,18000.0,4000.0,176323.1,9.798182590890704,12.080073386461823,71.2,4.174,4.0
697.0,17.19,0.0,0.0,0.0,84.5,29.0,45000.0,4 years,MORTGAGE,1200.0,12.12,36,B,debt_consolidation,540882.4,0,17.19,45000.0,1500.0,540882.4,10.714439990727769,13.200957158968144,69.7,3.438,1.5
672.0,20.42,0.0,0.0,0.0,60.6,28.0,60000.0,3 years,MORTGAGE,3900.0,13.67,36,B,credit_card,69335.6,0,20.42,60000.0,3900.0,69335.6,11.002116507732017,11.146713761788655,67.2,4.0840000000000005,3.9
687.0,17.39,0.0,0.0,0.0,56.6,33.0,76450.0,10+ years,MORTGAGE,1500.0,12.12,36,B,home_improvement,1410447.8,0,17.39,76450.0,1500.0,1410447.8,11.244405291716395,14.159417800586231,68.7,3.478,1.5
682.0,6.61,0.0,2.0,0.0,51.1,23.0,132632.0,5 years,MORTGAGE,35000.0,22.45,60,F,debt_consolidation,444478.2,0,6.61,132632.0,35000.0,444478.2,11.795341194549483,13.00465628886389,68.2,1.322,35.0
727.0,3.08,0.0,2.0,0.0,0.0,13.0,85000.0,5 years,RENT,2500.0,13.11,36,B,debt_consolidation,443566.1,0,3.08,85000.0,2500.0,443566.1,11.350418300109132,13.0026021113398,72.7,0.616,2.5
672.0,14.94,0.0,0.0,0.0,96.7,12.0,26000.0,4 years,RENT,5375.0,17.27,36,D,credit_card,2144089.6,1,14.94,26000.0,5375.0,2144089.6,10.165890277802454,14.578225591344385,67.2,2.988,5.375
682.0,8.76,0.0,0.0,0.0,60.8,7.0,116000.0,10+ years,RENT,15850.0,17.27,36,D,debt_consolidation,1323400.8,1,8.76,116000.0,15850.0,1323400.8,11.661354090741,14.095715345063464,68.2,1.752,15.85
722.0,17.02,0.0,0.0,0.0,22.4,37.0,90000.0,6 years,MORTGAGE,3000.0,7.9,36,A,wedding,519569.0,0,17.02,90000.0,3000.0,519569.0,11.407576060361786,13.160754900720871,72.2,3.404,3.0
667.0,17.21,0.0,1.0,0.0,68.6,26.0,34800.0,10+ years,RENT,5000.0,15.81,36,C,debt_consolidation,268861.9,0,17.21,34800.0,5000.0,268861.9,10.457401400981889,12.501953143858227,66.7,3.442,5.0
702.0,20.23,0.0,3.0,0.0,28.4,29.0,21000.0,5 years,OWN,2400.0,10.74,36,B,major_purchase,1410447.8,0,20.23,21000.0,2400.0,1410447.8,9.952325334619427,14.159417800586231,70.2,4.046,2.4
697.0,13.72,0.0,1.0,0.0,97.6,19.0,100000.0,5 years,RENT,16750.0,20.5,60,E,credit_card,1323400.8,0,13.72,100000.0,16750.0,1323400.8,11.51293546492023,14.095715345063464,69.7,2.744,16.75
667.0,15.48,0.0,1.0,0.0,83.8,20.0,54257.0,10+ years,RENT,10500.0,17.27,36,D,debt_consolidation,244114.4,0,15.48,54257.0,10500.0,244114.4,10.901505725968535,12.405392246857383,66.7,3.096,10.5
707.0,3.54,0.0,1.0,0.0,70.2,9.0,60000.0,10+ years,OWN,1500.0,13.99,36,C,home_improvement,439539.7,0,3.54,60000.0,1500.0,439539.7,11.002116507732017,12.993483321948231,70.7,0.708,1.5
662.0,24.68,0.0,0.0,0.0,89.9,35.0,51630.0,3 years,RENT,4800.0,17.27,36,D,other,445120.7,0,24.68,51630.0,4800.0,445120.7,10.851877546270282,13.006100760325612,66.2,4.936,4.8
667.0,21.78,0.0,1.0,0.0,73.0,7.0,30585.0,4 years,RENT,3600.0,15.81,36,C,other,2144089.6,0,21.78,30585.0,3600.0,2144089.6,10.32829766690807,14.578225591344385,66.7,4.356,3.6
667.0,5.8,0.0,1.0,0.0,90.7,5.0,30000.0,1 year,RENT,3600.0,18.25,36,D,credit_card,186553.9,1,5.8,30000.0,3600.0,186553.9,10.308985993422082,12.136475484354124,66.7,1.16,3.6
772.0,4.46,0.0,1.0,0.0,14.3,23.0,140000.0,10+ years,MORTGAGE,1800.0,6.62,36,A,major_purchase,445120.7,0,4.46,140000.0,1800.0,445120.7,11.849404844423074,13.006100760325612,77.2,0.892,1.8
682.0,28.43,0.0,1.0,0.0,94.2,31.0,125000.0,< 1 year,MORTGAGE,2700.0,14.65,36,C,moving,2144089.6,0,28.43,125000.0,2700.0,2144089.6,11.736077016252437,14.578225591344385,68.2,5.686,2.7
662.0,6.28,0.0,1.0,0.0,76.4,14.0,120000.0,< 1 year,RENT,10000.0,17.27,36,D,debt_consolidation,640663.1,0,6.28,120000.0,10000.0,640663.1,11.695255355062795,13.370259012711182,66.2,1.256,10.0
697.0,11.79,0.0,0.0,0.0,72.3,11.0,28800.0,< 1 year,RENT,7000.0,13.99,60,C,debt_consolidation,174427.6,1,11.79,28800.0,7000.0,174427.6,10.268165387743457,12.069265034816452,69.7,2.3579999999999997,7.0
677.0,24.28,0.0,3.0,0.0,39.0,14.0,24960.0,3 years,RENT,2750.0,13.99,36,C,debt_consolidation,768722.9,1,24.28,24960.0,2750.0,768722.9,10.125069885783383,13.552485845448977,67.7,4.856,2.75
717.0,14.8,0.0,1.0,0.0,58.6,16.0,61800.0,1 year,RENT,5000.0,13.67,60,B,major_purchase,69335.6,0,14.8,61800.0,5000.0,69335.6,11.031674824544641,11.146713761788655,71.7,2.96,5.0
702.0,5.76,0.0,1.0,0.0,16.2,5.0,15000.0,3 years,RENT,1500.0,12.12,36,B,other,244114.4,0,5.76,16000.0,1500.0,244114.4,9.680406499268875,12.405392246857383,70.2,1.152,1.5
707.0,18.91,0.0,1.0,0.0,67.4,22.0,79000.0,6 years,RENT,32000.0,20.5,60,E,debt_consolidation,444478.2,1,18.91,79000.0,32000.0,444478.2,11.277215789596893,13.00465628886389,70.7,3.782,32.0
702.0,23.21,0.0,0.0,0.0,87.6,24.0,100000.0,1 year,MORTGAGE,8000.0,14.65,60,C,debt_consolidation,334555.5,0,23.21,100000.0,8000.0,334555.5,11.51293546492023,12.72055806406985,70.2,4.642,8.0
702.0,12.35,0.0,1.0,0.0,77.1,22.0,115731.0,10+ years,MORTGAGE,5750.0,14.65,60,C,debt_consolidation,334555.5,0,12.35,115731.0,5750.0,334555.5,11.65903245229653,12.72055806406985,70.2,2.4699999999999998,5.75
662.0,28.62,0.0,2.0,0.0,86.4,37.0,39119.22,10+ years,MORTGAGE,3825.0,17.27,36,D,debt_consolidation,720881.5,0,28.62,39119.22,3825.0,720881.5,10.574394747854821,13.488230047696899,66.2,5.724,3.825
677.0,25.38,1.0,1.0,0.0,53.7,30.0,60000.0,10+ years,MORTGAGE,3000.0,13.67,36,B,home_improvement,768722.9,0,25.38,60000.0,3000.0,768722.9,11.002116507732017,13.552485845448977,67.7,5.076,3.0
797.0,0.85,0.0,0.0,0.0,0.9,25.0,135000.0,6 years,MORTGAGE,2000.0,6.62,36,A,major_purchase,233481.2,0,1.05,135000.0,2000.0,233481.2,11.813037464800539,12.36085683893104,79.7,0.21000000000000002,2.0
677.0,8.14,0.0,3.0,0.0,39.3,7.0,43500.0,< 1 year,RENT,3500.0,13.67,36,B,moving,268861.9,0,8.14,43500.0,3500.0,268861.9,10.680539205318292,12.501953143858227,67.7,1.6280000000000001,3.5
697.0,23.2,0.0,0.0,0.0,49.8,15.0,41000.0,,RENT,2000.0,9.76,36,B,medical,127789.1,1,23.2,41000.0,2000.0,127789.1,10.62135173563291,11.758136527773347,69.7,4.64,2.0
692.0,28.5,1.0,1.0,0.0,36.7,11.0,12000.0,3 years,OWN,2500.0,13.11,36,B,debt_consolidation,540882.4,1,28.5,16000.0,2500.0,540882.4,9.680406499268875,13.200957158968144,69.2,5.7,2.5
682.0,31.6,0.0,1.0,0.0,66.8,18.0,15000.0,10+ years,MORTGAGE,2000.0,13.67,36,B,other,768722.9,0,31.6,16000.0,2000.0,768722.9,9.680406499268875,13.552485845448977,68.2,6.32,2.0
672.0,14.06,0.0,0.0,0.0,66.0,19.0,75000.0,10+ years,MORTGAGE,30000.0,20.5,36,E,credit_card,1410447.8,0,14.06,75000.0,30000.0,1410447.8,11.225256725762893,14.159417800586231,67.2,2.8120000000000003,30.0
807.0,3.65,0.0,0.0,0.0,5.8,30.0,50000.0,10+ years,MORTGAGE,6000.0,6.03,36,A,debt_consolidation,334555.5,0,3.65,50000.0,6000.0,334555.5,10.819798284210286,12.72055806406985,80.7,0.73,6.0
662.0,14.11,0.0,2.0,0.0,50.8,12.0,25000.0,10+ years,OWN,5600.0,15.81,36,C,credit_card,768722.9,0,14.11,25000.0,5600.0,768722.9,10.12667110305036,13.552485845448977,66.2,2.822,5.6
672.0,32.07,0.0,3.0,0.0,70.3,29.0,52000.0,10+ years,RENT,4550.0,14.65,36,C,medical,443566.1,0,31.694400000000005,52000.0,4550.0,443566.1,10.859018228147887,13.0026021113398,67.2,6.338880000000001,4.55
662.0,10.01,0.0,2.0,0.0,55.0,30.0,115000.0,2 years,MORTGAGE,5000.0,16.29,36,C,debt_consolidation,334555.5,0,10.01,115000.0,5000.0,334555.5,11.652696102959753,12.72055806406985,66.2,2.002,5.0
687.0,7.41,0.0,0.0,0.0,89.9,9.0,56000.0,4 years,MORTGAGE,6650.0,13.11,36,B,debt_consolidation,439539.7,0,7.41,56000.0,6650.0,439539.7,10.933124826700707,12.993483321948231,68.7,1.482,6.65
672.0,18.11,1.0,1.0,0.0,83.0,35.0,95138.0,10+ years,MORTGAGE,3000.0,14.65,36,C,vacation,768722.9,0,18.11,95138.0,3000.0,768722.9,11.463094259104883,13.552485845448977,67.2,3.622,3.0
662.0,22.28,0.0,0.0,0.0,63.7,6.0,8724.0,,RENT,4200.0,14.65,36,C,debt_consolidation,38437.7,0,22.28,16000.0,4200.0,43550.7,9.680406499268875,10.681681055630232,66.2,4.456,4.2
682.0,9.8,0.0,0.0,0.0,32.9,30.0,30000.0,2 years,MORTGAGE,3000.0,12.12,36,B,debt_consolidation,439539.7,0,9.8,30000.0,3000.0,439539.7,10.308985993422082,12.993483321948231,68.2,1.9600000000000002,3.0
787.0,9.72,0.0,0.0,0.0,25.8,20.0,49250.0,10+ years,MORTGAGE,9200.0,7.9,60,A,debt_consolidation,540882.4,0,9.72,49250.0,9200.0,540882.4,10.804684950962628,13.200957158968144,78.7,1.9440000000000002,9.2
772.0,6.67,0.0,3.0,0.0,24.1,15.0,40659.0,8 years,MORTGAGE,4500.0,7.62,36,A,other,540882.4,0,6.67,40659.0,4500.0,540882.4,10.613000087182337,13.200957158968144,77.2,1.334,4.5
712.0,18.96,0.0,1.0,0.0,49.9,19.0,50000.0,10+ years,RENT,19000.0,16.29,60,C,debt_consolidation,1323400.8,0,18.96,50000.0,19000.0,1323400.8,10.819798284210286,14.095715345063464,71.2,3.7920000000000003,19.0
767.0,23.12,0.0,0.0,0.0,17.6,15.0,20400.0,,RENT,5000.0,6.03,36,A,other,1323400.8,0,23.12,20400.0,5000.0,1323400.8,9.923339198238729,14.095715345063464,76.7,4.6240000000000006,5.0
687.0,9.13,0.0,0.0,0.0,76.2,37.0,56000.0,10+ years,RENT,5000.0,10.74,36,B,other,519569.0,0,9.13,56000.0,5000.0,519569.0,10.933124826700707,13.160754900720871,68.7,1.826,5.0
717.0,26.03,0.0,0.0,0.0,80.2,30.0,74000.0,10+ years,MORTGAGE,16000.0,13.99,60,C,credit_card,274540.5,0,26.03,74000.0,16000.0,274540.5,11.211833885608513,12.522854070032228,71.7,5.206,16.0
667.0,18.52,1.0,1.0,0.0,70.3,22.0,120000.0,10+ years,OWN,25000.0,21.48,36,E,credit_card,233481.2,0,18.52,120000.0,25000.0,233481.2,11.695255355062795,12.36085683893104,66.7,3.7039999999999997,25.0
697.0,13.37,0.0,2.0,0.0,31.7,13.0,42000.0,5 years,MORTGAGE,8000.0,13.67,36,B,credit_card,186553.9,0,13.37,42000.0,8000.0,186553.9,10.645448706505872,12.136475484354124,69.7,2.674,8.0
772.0,0.9,0.0,0.0,0.0,14.6,20.0,75000.0,7 years,MORTGAGE,1500.0,6.03,36,A,major_purchase,1323400.8,0,1.05,75000.0,1500.0,1323400.8,11.225256725762893,14.095715345063464,77.2,0.21000000000000002,1.5
727.0,15.0,0.0,0.0,0.0,43.7,10.0,46000.0,6 years,OWN,5025.0,7.62,36,A,debt_consolidation,334555.5,0,15.0,46000.0,5025.0,334555.5,10.736418414365376,12.72055806406985,72.7,3.0,5.025
767.0,0.9,0.0,0.0,0.0,14.0,27.0,61000.0,5 years,MORTGAGE,5000.0,6.03,36,A,wedding,233481.2,0,1.05,61000.0,5000.0,233481.2,11.0186455364637,12.36085683893104,76.7,0.21000000000000002,5.0
767.0,1.83,0.0,0.0,0.0,43.9,19.0,90000.0,9 years,MORTGAGE,3500.0,7.62,36,A,other,720881.5,0,1.83,90000.0,3500.0,720881.5,11.407576060361786,13.488230047696899,76.7,0.366,3.5
662.0,22.01,0.0,0.0,0.0,93.1,6.0,41000.0,3 years,RENT,1000.0,18.25,36,D,wedding,268861.9,0,22.01,41000.0,1500.0,268861.9,10.62135173563291,12.501953143858227,66.2,4.402,1.5
737.0,1.82,0.0,0.0,0.0,44.7,17.0,35000.0,3 years,RENT,5000.0,8.9,36,A,debt_consolidation,69335.6,0,1.82,35000.0,5000.0,69335.6,10.463131911491967,11.146713761788655,73.7,0.364,5.0
687.0,26.93,0.0,2.0,0.0,75.0,43.0,110000.0,10+ years,MORTGAGE,20000.0,18.55,60,D,debt_consolidation,720881.5,0,26.93,110000.0,20000.0,720881.5,11.608244735642321,13.488230047696899,68.7,5.386,20.0
662.0,20.15,1.0,1.0,0.0,75.4,21.0,53000.0,5 years,MORTGAGE,7200.0,17.99,36,D,credit_card,768722.9,0,20.15,53000.0,7200.0,768722.9,10.87806606028079,13.552485845448977,66.2,4.029999999999999,7.2
667.0,12.98,0.0,1.0,0.0,80.1,14.0,60000.0,1 year,RENT,6075.0,17.27,36,D,debt_consolidation,445120.7,0,12.98,60000.0,6075.0,445120.7,11.002116507732017,13.006100760325612,66.7,2.596,6.075
662.0,9.31,0.0,2.0,0.0,23.4,11.0,45000.0,10+ years,RENT,7875.0,19.99,36,E,wedding,2144089.6,1,9.31,45000.0,7875.0,2144089.6,10.714439990727769,14.578225591344385,66.2,1.862,7.875
687.0,4.82,0.0,0.0,0.0,64.0,8.0,49000.0,10+ years,MORTGAGE,10000.0,13.67,36,B,credit_card,186553.9,0,4.82,49000.0,10000.0,186553.9,10.799595985047786,12.136475484354124,68.7,0.9640000000000001,10.0
747.0,19.44,0.0,0.0,0.0,61.9,19.0,83025.0,2 years,MORTGAGE,35000.0,13.11,60,B,debt_consolidation,540882.4,0,19.44,83025.0,35000.0,540882.4,11.326909090737303,13.200957158968144,74.7,3.8880000000000003,35.0
667.0,27.32,0.0,1.0,0.0,71.2,11.0,31314.0,3 years,RENT,4375.0,15.31,36,C,other,540882.4,0,27.32,31314.0,4375.0,540882.4,10.351852494959513,13.200957158968144,66.7,5.464,4.375
667.0,17.35,0.0,3.0,0.0,73.4,37.0,85000.0,5 years,MORTGAGE,12000.0,17.27,36,D,debt_consolidation,274540.5,0,17.35,85000.0,12000.0,274540.5,11.350418300109132,12.522854070032228,66.7,3.47,12.0
692.0,3.26,0.0,0.0,0.0,74.5,4.0,35000.0,10+ years,MORTGAGE,2600.0,12.12,36,B,debt_consolidation,1410447.8,0,3.26,35000.0,2600.0,1410447.8,10.463131911491967,14.159417800586231,69.2,0.6519999999999999,2.6
662.0,12.99,0.0,2.0,0.0,37.6,41.0,80000.0,< 1 year,RENT,7200.0,17.99,36,D,debt_consolidation,244114.4,0,12.99,80000.0,7200.0,244114.4,11.289794413577894,12.405392246857383,66.2,2.598,7.2
687.0,16.2,0.0,3.0,0.0,75.5,10.0,20000.0,5 years,OWN,5700.0,13.67,36,B,debt_consolidation,268861.9,0,16.2,20000.0,5700.0,268861.9,9.90353755128617,12.501953143858227,68.7,3.2399999999999998,5.7
672.0,1.72,0.0,0.0,0.0,97.8,7.0,160000.0,< 1 year,MORTGAGE,8000.0,20.5,36,E,credit_card,2144089.6,0,1.72,160000.0,8000.0,2144089.6,11.982935344196433,14.578225591344385,67.2,0.344,8.0
692.0,16.6,0.0,1.0,0.0,29.7,11.0,42000.0,2 years,RENT,4000.0,13.11,36,B,debt_consolidation,2144089.6,0,16.6,42000.0,4000.0,2144089.6,10.645448706505872,14.578225591344385,69.2,3.3200000000000003,4.0
672.0,4.0,0.0,0.0,0.0,76.2,8.0,74000.0,7 years,RENT,15000.0,17.27,36,D,wedding,1323400.8,0,4.0,74000.0,15000.0,1323400.8,11.211833885608513,14.095715345063464,67.2,0.8,15.0
662.0,21.14,2.0,0.0,0.0,92.4,22.0,78000.0,10+ years,RENT,7500.0,18.55,36,D,debt_consolidation,519569.0,0,21.14,78000.0,7500.0,519569.0,11.264476926102367,13.160754900720871,66.2,4.228,7.5
782.0,8.09,0.0,0.0,0.0,14.8,24.0,61578.0,6 years,RENT,3500.0,6.03,36,A,car,1410447.8,0,8.09,61578.0,3500.0,1410447.8,11.028076182307988,14.159417800586231,78.2,1.6179999999999999,3.5
667.0,8.51,1.0,0.0,0.0,84.4,22.0,95000.0,3 years,RENT,17600.0,21.48,60,E,debt_consolidation,1410447.8,0,8.51,95000.0,17600.0,1410447.8,11.461642696843066,14.159417800586231,66.7,1.702,17.6
677.0,22.76,0.0,3.0,0.0,83.3,25.0,45000.0,4 years,RENT,3000.0,13.99,36,C,other,720881.5,0,22.76,45000.0,3000.0,720881.5,10.714439990727769,13.488230047696899,67.7,4.5520000000000005,3.0
767.0,10.68,0.0,0.0,0.0,44.4,24.0,70000.0,7 years,MORTGAGE,16800.0,10.74,60,B,credit_card,268068.2,0,10.68,70000.0,16800.0,268068.2,11.156264806643742,12.498996704730999,76.7,2.136,16.8
662.0,20.44,1.0,1.0,0.0,97.3,47.0,30000.0,,MORTGAGE,4800.0,19.99,36,E,debt_consolidation,87644.8,1,20.44,30000.0,4800.0,87644.8,10.308985993422082,11.381047561721246,66.2,4.088,4.8
727.0,21.7,0.0,1.0,0.0,24.5,19.0,35500.0,8 years,RENT,9250.0,13.11,60,B,debt_consolidation,334555.5,0,21.7,35500.0,9250.0,334555.5,10.477316144080852,12.72055806406985,72.7,4.34,9.25
667.0,16.74,0.0,3.0,0.0,33.6,25.0,60000.0,10+ years,RENT,15000.0,17.99,36,D,debt_consolidation,720881.5,1,16.74,60000.0,15000.0,720881.5,11.002116507732017,13.488230047696899,66.7,3.348,15.0
692.0,22.3,0.0,0.0,0.0,39.2,39.0,65000.0,10+ years,MORTGAGE,17000.0,18.55,60,D,debt_consolidation,768722.9,0,22.3,65000.0,17000.0,768722.9,11.082157933374816,13.552485845448977,69.2,4.46,17.0
667.0,28.68,0.0,1.0,0.0,87.8,38.0,60000.0,10+ years,MORTGAGE,10000.0,17.99,36,D,debt_consolidation,186553.9,0,28.68,60000.0,10000.0,186553.9,11.002116507732017,12.136475484354124,66.7,5.736,10.0
677.0,21.18,0.0,0.0,0.0,77.4,31.0,37000.0,< 1 year,RENT,13500.0,18.25,36,D,debt_consolidation,443566.1,1,21.18,37000.0,13500.0,443566.1,10.518700218288165,13.0026021113398,67.7,4.236,13.5
717.0,14.84,0.0,0.0,0.0,30.6,18.0,40800.0,10+ years,OWN,20000.0,13.99,60,C,debt_consolidation,720881.5,0,14.84,40800.0,20000.0,720881.5,10.616461869895815,13.488230047696899,71.7,2.968,20.0
677.0,4.07,1.0,2.0,0.0,86.1,43.0,76000.0,6 years,MORTGAGE,7200.0,15.81,36,C,debt_consolidation,720881.5,0,4.07,76000.0,7200.0,720881.5,11.23850177707664,13.488230047696899,67.7,0.8140000000000001,7.2
767.0,23.15,0.0,2.0,0.0,9.9,26.0,55000.0,10+ years,MORTGAGE,12000.0,10.74,60,B,debt_consolidation,720881.5,0,23.15,55000.0,12000.0,720881.5,10.915106645867503,13.488230047696899,76.7,4.63,12.0
687.0,13.88,0.0,2.0,0.0,91.7,20.0,130000.0,4 years,MORTGAGE,24375.0,19.22,36,D,debt_consolidation,2144089.6,0,13.88,130000.0,24375.0,2144089.6,11.775297421715827,14.578225591344385,68.7,2.7760000000000002,24.375
687.0,14.31,0.0,0.0,0.0,48.3,26.0,60000.0,6 years,RENT,6000.0,12.12,36,B,credit_card,720881.5,0,14.31,60000.0,6000.0,720881.5,11.002116507732017,13.488230047696899,68.7,2.862,6.0
727.0,7.62,0.0,0.0,0.0,53.3,20.0,62500.0,,OWN,16000.0,13.67,60,B,vacation,400623.3,1,7.62,62500.0,16000.0,400623.3,11.042937835596494,12.900776863278333,72.7,1.524,16.0
