fico,dti,delinq_2yrs,inq_last_6mths,pub_rec,revol_util,total_acc,annual_inc,emp_length,home_ownership,loan_amnt,int_rate,term,grade,purpose,state_gdp_2012,default
697.0,5.45,0.0,2.0,0.0,45.1%,20.0,50000.0,5 years,MORTGAGE,4000.0, 12.12%, 36 months,B,credit_card,1410447.8,0
682.0,13.56,0.0,1.0,0.0,73.1%,22.0,30000.0,1 year,MORTGAGE,3000.0, 13.67%, 36 months,B,other,268861.9,1
757.0,1.6,0.0,0.0,0.0,9.7%,41.0,45000.0,6 years,RENT,4000.0,  6.03%, 36 months,A,credit_card,1323400.8,0
682.0,20.1,2.0,0.0,0.0,94.5%,33.0,95000.0,10+ years,MORTGAGE,3000.0, 13.11%, 36 months,B,home_improvement,445120.7,0
712.0,20.87,0.0,2.0,0.0,25.1%,11.0,18000.0,< 1 year,RENT,4000.0, 14.65%, 60 months,C,other,176323.1,0
697.0,17.19,0.0,0.0,0.0,84.5%,29.0,45000.0,4 years,MORTGAGE,1200.0, 12.12%, 36 months,B,debt_consolidation,540882.4,0
672.0,20.42,0.0,0.0,0.0,60.6%,28.0,60000.0,3 years,MORTGAGE,3900.0, 13.67%, 36 months,B,credit_card,69335.6,0
687.0,17.39,0.0,0.0,0.0,56.6%,33.0,76450.0,10+ years,MORTGAGE,1500.0, 12.12%, 36 months,B,home_improvement,1410447.8,0
682.0,6.61,0.0,2.0,0.0,51.1%,23.0,132632.0,5 years,MORTGAGE,35000.0, 22.45%, 60 months,F,debt_consolidation,444478.2,0
727.0,3.08,0.0,2.0,0.0,0%,13.0,85000.0,5 years,RENT,2500.0, 13.11%, 36 months,B,debt_consolidation,443566.1,0
672.0,14.94,0.0,0.0,0.0,96.7%,12.0,26000.0,4 years,RENT,5375.0, 17.27%, 36 months,D,credit_card,2144089.6,1
682.0,8.76,0.0,0.0,0.0,60.8%,7.0,116000.0,10+ years,RENT,15850.0, 17.27%, 36 months,D,debt_consolidation,1323400.8,1
722.0,17.02,0.0,0.0,0.0,22.4%,37.0,90000.0,6 years,MORTGAGE,3000.0,  7.90%, 36 months,A,wedding,519569.0,0
667.0,17.21,0.0,1.0,0.0,68.6%,26.0,34800.0,10+ years,RENT,5000.0, 15.81%, 36 months,C,debt_consolidation,268861.9,0
702.0,20.23,0.0,3.0,0.0,28.4%,29.0,21000.0,5 years,OWN,2400.0, 10.74%, 36 months,B,major_purchase,1410447.8,0
697.0,13.72,0.0,1.0,0.0,97.6%,19.0,100000.0,5 years,RENT,16750.0, 20.50%, 60 months,E,credit_card,1323400.8,0
667.0,15.48,0.0,1.0,0.0,83.8%,20.0,54257.0,10+ years,RENT,10500.0, 17.27%, 36 months,D,debt_consolidation,244114.4,0
707.0,3.54,0.0,1.0,0.0,70.2%,9.0,60000.0,10+ years,OWN,1500.0, 13.99%, 36 months,C,home_improvement,439539.7,0
662.0,24.68,0.0,0.0,0.0,89.9%,35.0,51630.0,3 years,RENT,4800.0, 17.27%, 36 months,D,other,445120.7,0
667.0,21.78,0.0,1.0,0.0,73%,7.0,30585.0,4 years,RENT,3600.0, 15.81%, 36 months,C,other,2144089.6,0
667.0,5.8,0.0,1.0,0.0,90.7%,5.0,30000.0,1 year,RENT,3600.0, 18.25%, 36 months,D,credit_card,186553.9,1
772.0,4.46,0.0,1.0,0.0,14.3%,23.0,140000.0,10+ years,MORTGAGE,1800.0,  6.62%, 36 months,A,major_purchase,445120.7,0
682.0,28.43,0.0,1.0,0.0,94.2%,31.0,125000.0,< 1 year,MORTGAGE,2700.0, 14.65%, 36 months,C,moving,2144089.6,0
662.0,6.28,0.0,1.0,0.0,76.4%,14.0,120000.0,< 1 year,RENT,10000.0, 17.27%, 36 months,D,debt_consolidation,640663.1,0
697.0,11.79,0.0,0.0,0.0,72.3%,11.0,28800.0,< 1 year,RENT,7000.0, 13.99%, 60 months,C,debt_consolidation,174427.6,1
677.0,24.28,0.0,3.0,0.0,39%,14.0,24960.0,3 years,RENT,2750.0, 13.99%, 36 months,C,debt_consolidation,768722.9,1
717.0,14.8,0.0,1.0,0.0,58.6%,16.0,61800.0,1 year,RENT,5000.0, 13.67%, 60 months,B,major_purchase,69335.6,0
702.0,5.76,0.0,1.0,0.0,16.2%,5.0,15000.0,3 years,RENT,1500.0, 12.12%, 36 months,B,other,244114.4,0
707.0,18.91,0.0,1.0,0.0,67.4%,22.0,79000.0,6 years,RENT,32000.0, 20.50%, 60 months,E,debt_consolidation,444478.2,1
702.0,23.21,0.0,0.0,0.0,87.6%,24.0,100000.0,1 year,MORTGAGE,8000.0, 14.65%, 60 months,C,debt_consolidation,334555.5,0
702.0,12.35,0.0,1.0,0.0,77.1%,22.0,115731.0,10+ years,MORTGAGE,5750.0, 14.65%, 60 months,C,debt_consolidation,334555.5,0
662.0,28.62,0.0,2.0,0.0,86.4%,37.0,39119.22,10+ years,MORTGAGE,3825.0, 17.27%, 36 months,D,debt_consolidation,720881.5,0
677.0,25.38,1.0,1.0,0.0,53.7%,30.0,60000.0,10+ years,MORTGAGE,3000.0, 13.67%, 36 months,B,home_improvement,768722.9,0
797.0,0.85,0.0,0.0,0.0,0.9%,25.0,135000.0,6 years,MORTGAGE,2000.0,  6.62%, 36 months,A,major_purchase,233481.2,0
677.0,8.14,0.0,3.0,0.0,39.3%,7.0,43500.0,< 1 year,RENT,3500.0, 13.67%, 36 months,B,moving,268861.9,0
697.0,23.2,0.0,0.0,0.0,49.8%,15.0,41000.0,,RENT,2000.0,  9.76%, 36 months,B,medical,127789.1,1
692.0,28.5,1.0,1.0,0.0,36.7%,11.0,12000.0,3 years,OWN,2500.0, 13.11%, 36 months,B,debt_consolidation,540882.4,1
682.0,31.6,0.0,1.0,0.0,66.8%,18.0,15000.0,10+ years,MORTGAGE,2000.0, 13.67%, 36 months,B,other,768722.9,0
672.0,14.06,0.0,0.0,0.0,66%,19.0,75000.0,10+ years,MORTGAGE,30000.0, 20.50%, 36 months,E,credit_card,1410447.8,0
807.0,3.65,0.0,0.0,0.0,5.8%,30.0,50000.0,10+ years,MORTGAGE,6000.0,  6.03%, 36 months,A,debt_consolidation,334555.5,0
662.0,14.11,0.0,2.0,0.0,50.8%,12.0,25000.0,10+ years,OWN,5600.0, 15.81%, 36 months,C,credit_card,768722.9,0
672.0,32.07,0.0,3.0,0.0,70.3%,29.0,52000.0,10+ years,RENT,4550.0, 14.65%, 36 months,C,medical,443566.1,0
662.0,10.01,0.0,2.0,0.0,55%,30.0,115000.0,2 years,MORTGAGE,5000.0, 16.29%, 36 months,C,debt_consolidation,334555.5,0
687.0,7.41,0.0,0.0,0.0,89.9%,9.0,56000.0,4 years,MORTGAGE,6650.0, 13.11%, 36 months,B,debt_consolidation,439539.7,0
672.0,18.11,1.0,1.0,0.0,83%,35.0,95138.0,10+ years,MORTGAGE,3000.0, 14.65%, 36 months,C,vacation,768722.9,0
662.0,22.28,0.0,0.0,0.0,63.7%,6.0,8724.0,,RENT,4200.0, 14.65%, 36 months,C,debt_consolidation,38437.7,0
682.0,9.8,0.0,0.0,0.0,32.9%,30.0,30000.0,2 years,MORTGAGE,3000.0, 12.12%, 36 months,B,debt_consolidation,439539.7,0
787.0,9.72,0.0,0.0,0.0,25.8%,20.0,49250.0,10+ years,MORTGAGE,9200.0,  7.90%, 60 months,A,debt_consolidation,540882.4,0
772.0,6.67,0.0,3.0,0.0,24.1%,15.0,40659.0,8 years,MORTGAGE,4500.0,  7.62%, 36 months,A,other,540882.4,0
712.0,18.96,0.0,1.0,0.0,49.9%,19.0,50000.0,10+ years,RENT,19000.0, 16.29%, 60 months,C,debt_consolidation,1323400.8,0
767.0,23.12,0.0,0.0,0.0,17.6%,15.0,20400.0,,RENT,5000.0,  6.03%, 36 months,A,other,1323400.8,0
687.0,9.13,0.0,0.0,0.0,76.2%,37.0,56000.0,10+ years,RENT,5000.0, 10.74%, 36 months,B,other,519569.0,0
717.0,26.03,0.0,0.0,0.0,80.2%,30.0,74000.0,10+ years,MORTGAGE,16000.0, 13.99%, 60 months,C,credit_card,274540.5,0
667.0,18.52,1.0,1.0,0.0,70.3%,22.0,120000.0,10+ years,OWN,25000.0, 21.48%, 36 months,E,credit_card,233481.2,0
697.0,13.37,0.0,2.0,0.0,31.7%,13.0,42000.0,5 years,MORTGAGE,8000.0, 13.67%, 36 months,B,credit_card,186553.9,0
772.0,0.9,0.0,0.0,0.0,14.6%,20.0,75000.0,7 years,MORTGAGE,1500.0,  6.03%, 36 months,A,major_purchase,1323400.8,0
727.0,15.0,0.0,0.0,0.0,43.7%,10.0,46000.0,6 years,OWN,5025.0,  7.62%, 36 months,A,debt_consolidation,334555.5,0
767.0,0.9,0.0,0.0,0.0,14%,27.0,61000.0,5 years,MORTGAGE,5000.0,  6.03%, 36 months,A,wedding,233481.2,0
767.0,1.83,0.0,0.0,0.0,43.9%,19.0,90000.0,9 years,MORTGAGE,3500.0,  7.62%, 36 months,A,other,720881.5,0
662.0,22.01,0.0,0.0,0.0,93.1%,6.0,41000.0,3 years,RENT,1000.0, 18.25%, 36 months,D,wedding,268861.9,0
737.0,1.82,0.0,0.0,0.0,44.7%,17.0,35000.0,3 years,RENT,5000.0,  8.90%, 36 months,A,debt_consolidation,69335.6,0
687.0,26.93,0.0,2.0,0.0,75%,43.0,110000.0,10+ years,MORTGAGE,20000.0, 18.55%, 60 months,D,debt_consolidation,720881.5,0
662.0,20.15,1.0,1.0,0.0,75.4%,21.0,53000.0,5 years,MORTGAGE,7200.0, 17.99%, 36 months,D,credit_card,768722.9,0
667.0,12.98,0.0,1.0,0.0,80.1%,14.0,60000.0,1 year,RENT,6075.0, 17.27%, 36 months,D,debt_consolidation,445120.7,0
662.0,9.31,0.0,2.0,0.0,23.4%,11.0,45000.0,10+ years,RENT,7875.0, 19.99%, 36 months,E,wedding,2144089.6,1
687.0,4.82,0.0,0.0,0.0,64%,8.0,49000.0,10+ years,MORTGAGE,10000.0, 13.67%, 36 months,B,credit_card,186553.9,0
747.0,19.44,0.0,0.0,0.0,61.9%,19.0,83025.0,2 years,MORTGAGE,35000.0, 13.11%, 60 months,B,debt_consolidation,540882.4,0
667.0,27.32,0.0,1.0,0.0,71.2%,11.0,31314.0,3 years,RENT,4375.0, 15.31%, 36 months,C,other,540882.4,0
667.0,17.35,0.0,3.0,0.0,73.4%,37.0,85000.0,5 years,MORTGAGE,12000.0, 17.27%, 36 months,D,debt_consolidation,274540.5,0
692.0,3.26,0.0,0.0,0.0,74.5%,4.0,35000.0,10+ years,MORTGAGE,2600.0, 12.12%, 36 months,B,debt_consolidation,1410447.8,0
662.0,12.99,0.0,2.0,0.0,37.6%,41.0,80000.0,< 1 year,RENT,7200.0, 17.99%, 36 months,D,debt_consolidation,244114.4,0
687.0,16.2,0.0,3.0,0.0,75.5%,10.0,20000.0,5 years,OWN,5700.0, 13.67%, 36 months,B,debt_consolidation,268861.9,0
672.0,1.72,0.0,0.0,0.0,97.8%,7.0,160000.0,< 1 year,MORTGAGE,8000.0, 20.50%, 36 months,E,credit_card,2144089.6,0
692.0,16.6,0.0,1.0,0.0,29.7%,11.0,42000.0,2 years,RENT,4000.0, 13.11%, 36 months,B,debt_consolidation,2144089.6,0
672.0,4.0,0.0,0.0,0.0,76.2%,8.0,74000.0,7 years,RENT,15000.0, 17.27%, 36 months,D,wedding,1323400.8,0
662.0,21.14,2.0,0.0,0.0,92.4%,22.0,78000.0,10+ years,RENT,7500.0, 18.55%, 36 months,D,debt_consolidation,519569.0,0
782.0,8.09,0.0,0.0,0.0,14.8%,24.0,61578.0,6 years,RENT,3500.0,  6.03%, 36 months,A,car,1410447.8,0
667.0,8.51,1.0,0.0,0.0,84.4%,22.0,95000.0,3 years,RENT,17600.0, 21.48%, 60 months,E,debt_consolidation,1410447.8,0
677.0,22.76,0.0,3.0,0.0,83.3%,25.0,45000.0,4 years,RENT,3000.0, 13.99%, 36 months,C,other,720881.5,0
767.0,10.68,0.0,0.0,0.0,44.4%,24.0,70000.0,7 years,MORTGAGE,16800.0, 10.74%, 60 months,B,credit_card,268068.2,0
662.0,20.44,1.0,1.0,0.0,97.3%,47.0,30000.0,,MORTGAGE,4800.0, 19.99%, 36 months,E,debt_consolidation,87644.8,1
727.0,21.7,0.0,1.0,0.0,24.5%,19.0,35500.0,8 years,RENT,9250.0, 13.11%, 60 months,B,debt_consolidation,334555.5,0
667.0,16.74,0.0,3.0,0.0,33.6%,25.0,60000.0,10+ years,RENT,15000.0, 17.99%, 36 months,D,debt_consolidation,720881.5,1
692.0,22.3,0.0,0.0,0.0,39.2%,39.0,65000.0,10+ years,MORTGAGE,17000.0, 18.55%, 60 months,D,debt_consolidation,768722.9,0
667.0,28.68,0.0,1.0,0.0,87.8%,38.0,60000.0,10+ years,MORTGAGE,10000.0, 17.99%, 36 months,D,debt_consolidation,186553.9,0
677.0,21.18,0.0,0.0,0.0,77.4%,31.0,37000.0,< 1 year,RENT,13500.0, 18.25%, 36 months,D,debt_consolidation,443566.1,1
717.0,14.84,0.0,0.0,0.0,30.6%,18.0,40800.0,10+ years,OWN,20000.0, 13.99%, 60 months,C,debt_consolidation,720881.5,0
677.0,4.07,1.0,2.0,0.0,86.1%,43.0,76000.0,6 years,MORTGAGE,7200.0, 15.81%, 36 months,C,debt_consolidation,720881.5,0
767.0,23.15,0.0,2.0,0.0,9.9%,26.0,55000.0,10+ years,MORTGAGE,12000.0, 10.74%, 60 months,B,debt_consolidation,720881.5,0
687.0,13.88,0.0,2.0,0.0,91.7%,20.0,130000.0,4 years,MORTGAGE,24375.0, 19.22%, 36 months,D,debt_consolidation,2144089.6,0
687.0,14.31,0.0,0.0,0.0,48.3%,26.0,60000.0,6 years,RENT,6000.0, 12.12%, 36 months,B,credit_card,720881.5,0
727.0,7.62,0.0,0.0,0.0,53.3%,20.0,62500.0,,OWN,16000.0, 13.67%, 60 months,B,vacation,400623.3,1
697.0,30.76,4.0,2.0,0.0,61.1%,33.0,33000.0,10+ years,MORTGAGE,1400.0, 12.12%, 36 months,B,home_improvement,2144089.6,0
687.0,9.57,1.0,1.0,0.0,47.7%,25.0,82000.0,< 1 year,RENT,18000.0, 18.55%, 60 months,D,debt_consolidation,1323400.8,1
682.0,14.37,0.0,3.0,0.0,40.5%,26.0,70000.0,7 years,MORTGAGE,3600.0, 13.67%, 36 months,B,other,1410447.8,0
727.0,1.25,1.0,1.0,0.0,27.5%,19.0,300000.0,< 1 year,MORTGAGE,12250.0, 15.31%, 60 months,C,debt_consolidation,519569.0,0
672.0,20.96,0.0,1.0,0.0,97.6%,27.0,80000.0,10+ years,MORTGAGE,15000.0, 19.22%, 36 months,D,small_business,768722.9,0
697.0,30.07,0.0,0.0,0.0,91.4%,48.0,50000.0,5 years,MORTGAGE,20500.0, 17.27%, 36 months,D,debt_consolidation,268861.9,0
692.0,30.9,0.0,0.0,0.0,68.2%,33.0,45823.0,6 years,MORTGAGE,22750.0, 19.22%, 60 months,D,credit_card,1323400.8,0
737.0,17.45,0.0,0.0,0.0,53.2%,45.0,82570.0,10+ years,MORTGAGE,25000.0, 13.11%, 60 months,B,credit_card,268861.9,1
677.0,12.08,1.0,0.0,0.0,59.9%,39.0,170000.0,10+ years,MORTGAGE,25000.0, 19.99%, 36 months,E,credit_card,720881.5,0
677.0,15.72,0.0,1.0,0.0,69.4%,43.0,116000.0,10+ years,MORTGAGE,22000.0, 19.22%, 60 months,D,debt_consolidation,1323400.8,1
687.0,26.23,0.0,0.0,0.0,65.1%,36.0,50000.0,1 year,RENT,16500.0, 18.55%, 60 months,D,debt_consolidation,540882.4,1
687.0,11.45,0.0,0.0,0.0,71.2%,22.0,90000.0,7 years,MORTGAGE,15000.0, 18.55%, 60 months,D,debt_consolidation,334555.5,0
747.0,17.13,0.0,5.0,0.0,86.7%,37.0,75000.0,< 1 year,MORTGAGE,5500.0, 13.99%, 60 months,C,debt_consolidation,1323400.8,1
697.0,10.74,0.0,1.0,0.0,74.5%,18.0,39000.0,10+ years,MORTGAGE,19000.0, 18.25%, 60 months,D,credit_card,768722.9,1
677.0,11.58,1.0,2.0,0.0,46.8%,24.0,51000.0,10+ years,MORTGAGE,20000.0, 17.99%, 36 months,D,debt_consolidation,274540.5,0
677.0,16.44,0.0,0.0,0.0,56.8%,20.0,90000.0,2 years,MORTGAGE,23275.0, 20.50%, 60 months,E,debt_consolidation,176323.1,0
677.0,26.96,0.0,1.0,0.0,61.9%,6.0,15000.0,< 1 year,RENT,7200.0, 18.55%, 60 months,D,debt_consolidation,2144089.6,1
712.0,32.14,0.0,0.0,0.0,76.7%,7.0,28000.0,6 years,RENT,4375.0,  8.90%, 36 months,A,credit_card,2144089.6,0
687.0,16.36,0.0,1.0,0.0,89.1%,31.0,80398.0,10+ years,RENT,15350.0, 15.81%, 36 months,C,credit_card,174427.6,0
677.0,30.9,0.0,0.0,0.0,70.8%,21.0,12000.0,5 years,RENT,4000.0, 12.12%, 36 months,B,debt_consolidation,768722.9,0
707.0,14.41,0.0,0.0,0.0,83.1%,35.0,94000.0,2 years,RENT,22100.0, 12.12%, 36 months,B,credit_card,268068.2,0
672.0,20.65,1.0,3.0,0.0,55.8%,27.0,41000.0,5 years,RENT,14075.0, 19.22%, 36 months,D,debt_consolidation,1323400.8,0
667.0,21.53,0.0,2.0,0.0,64%,26.0,48000.0,10+ years,RENT,10000.0, 17.27%, 36 months,D,credit_card,2144089.6,0
707.0,29.86,0.0,3.0,0.0,60.8%,18.0,35000.0,5 years,RENT,9600.0, 15.81%, 60 months,C,debt_consolidation,519569.0,0
692.0,7.36,0.0,1.0,0.0,62.6%,12.0,52000.0,< 1 year,RENT,11000.0, 13.99%, 36 months,C,car,720881.5,0
692.0,15.95,0.0,0.0,0.0,61.2%,24.0,65000.0,6 years,MORTGAGE,11000.0, 12.12%, 36 months,B,debt_consolidation,233481.2,0
752.0,30.18,0.0,0.0,0.0,33.7%,28.0,33000.0,4 years,RENT,16000.0, 10.74%, 60 months,B,debt_consolidation,768722.9,0
697.0,11.87,0.0,0.0,0.0,42.2%,30.0,56000.0,9 years,RENT,10000.0, 12.12%, 36 months,B,debt_consolidation,51607.4,0
672.0,19.38,0.0,1.0,0.0,66.9%,20.0,39000.0,9 years,RENT,19125.0, 18.25%, 36 months,D,debt_consolidation,2144089.6,1
692.0,6.71,0.0,3.0,0.0,43.9%,7.0,60600.0,3 years,RENT,2250.0, 13.67%, 36 months,B,wedding,443566.1,0
662.0,25.56,0.0,2.0,0.0,79.4%,22.0,28500.0,1 year,RENT,4300.0, 15.81%, 36 months,C,debt_consolidation,640663.1,0
672.0,26.77,0.0,0.0,0.0,43.9%,20.0,36000.0,3 years,RENT,10000.0, 13.99%, 36 months,C,credit_card,2144089.6,0
702.0,28.08,0.0,0.0,0.0,75.8%,27.0,40000.0,10+ years,MORTGAGE,15300.0, 12.12%, 36 months,B,debt_consolidation,42041.6,0
707.0,18.48,0.0,3.0,0.0,52.8%,24.0,53000.0,7 years,MORTGAGE,9000.0, 13.11%, 36 months,B,credit_card,268861.9,0
672.0,23.06,2.0,1.0,0.0,87.7%,33.0,80000.0,4 years,MORTGAGE,24000.0, 22.78%, 60 months,F,debt_consolidation,173238.8,0
702.0,20.9,0.0,0.0,0.0,47.5%,30.0,65000.0,2 years,RENT,6800.0,  8.90%, 36 months,A,debt_consolidation,2144089.6,0
692.0,25.62,0.0,1.0,0.0,55.8%,24.0,80000.0,6 years,MORTGAGE,15000.0, 15.31%, 36 months,C,other,127789.1,0
697.0,26.82,0.0,0.0,0.0,76.9%,16.0,20000.0,7 years,RENT,9125.0, 12.12%, 36 months,B,credit_card,42041.6,0
707.0,10.18,0.0,0.0,0.0,46.4%,18.0,35000.0,10+ years,MORTGAGE,12000.0,  9.76%, 36 months,B,credit_card,296272.5,0
687.0,14.7,0.0,1.0,0.0,53.6%,43.0,47000.0,10+ years,MORTGAGE,22000.0, 18.55%, 60 months,D,debt_consolidation,720881.5,1
692.0,20.38,1.0,0.0,0.0,24.9%,28.0,35000.0,7 years,RENT,10000.0, 12.12%, 36 months,B,credit_card,1323400.8,0
702.0,29.22,0.0,1.0,0.0,56.7%,24.0,40000.0,9 years,RENT,12000.0, 13.11%, 36 months,B,debt_consolidation,296272.5,0
692.0,31.75,0.0,3.0,0.0,64.1%,26.0,24000.0,5 years,MORTGAGE,4200.0, 13.11%, 36 months,B,debt_consolidation,87644.8,0
712.0,23.58,0.0,2.0,0.0,45.5%,27.0,45300.0,1 year,RENT,16000.0, 16.29%, 60 months,C,debt_consolidation,540882.4,0
672.0,13.2,0.0,0.0,0.0,48.8%,17.0,37000.0,10+ years,RENT,4000.0, 13.11%, 36 months,B,debt_consolidation,2144089.6,1
697.0,28.41,0.0,2.0,0.0,41.4%,18.0,44000.0,3 years,MORTGAGE,12000.0, 13.67%, 36 months,B,debt_consolidation,1410447.8,0
682.0,17.29,0.0,1.0,0.0,77.3%,24.0,32000.0,5 years,RENT,10500.0, 14.65%, 36 months,C,debt_consolidation,274540.5,0
792.0,21.32,0.0,1.0,0.0,26.2%,22.0,47500.0,< 1 year,MORTGAGE,16000.0,  9.76%, 60 months,B,home_improvement,268068.2,0
697.0,21.39,0.0,1.0,0.0,52.7%,27.0,45000.0,2 years,OWN,20000.0, 18.25%, 60 months,D,debt_consolidation,274540.5,0
667.0,21.49,0.0,3.0,0.0,78.7%,43.0,72000.0,2 years,RENT,24000.0, 20.50%, 36 months,E,credit_card,400623.3,0
692.0,18.35,0.0,0.0,0.0,33%,18.0,50000.0,< 1 year,RENT,22000.0, 13.11%, 36 months,B,debt_consolidation,233481.2,0
747.0,8.05,0.0,0.0,0.0,36.5%,17.0,42012.0,2 years,MORTGAGE,16000.0, 12.12%, 60 months,B,home_improvement,1410447.8,0
677.0,16.14,0.0,0.0,0.0,87.2%,24.0,29000.0,,RENT,12000.0, 13.99%, 36 months,C,debt_consolidation,768722.9,0
722.0,31.2,0.0,2.0,0.0,33.8%,45.0,45000.0,4 years,RENT,13225.0, 13.67%, 36 months,B,debt_consolidation,768722.9,1
707.0,3.57,0.0,1.0,0.0,24.1%,20.0,78000.0,8 years,MORTGAGE,12000.0, 12.12%, 36 months,B,credit_card,519569.0,0
747.0,7.84,0.0,0.0,0.0,16.8%,7.0,47000.0,3 years,RENT,8800.0,  7.90%, 36 months,A,debt_consolidation,1323400.8,0
752.0,34.92,0.0,1.0,0.0,26.6%,37.0,60785.0,10+ years,MORTGAGE,3500.0,  6.62%, 36 months,A,other,334555.5,0
682.0,22.7,0.0,1.0,0.0,50.7%,44.0,47000.0,9 years,RENT,10000.0, 14.65%, 36 months,C,debt_consolidation,640663.1,0
667.0,15.1,0.0,0.0,0.0,58%,28.0,29000.0,9 years,RENT,8000.0, 14.65%, 36 months,C,debt_consolidation,1410447.8,0
662.0,20.63,1.0,1.0,0.0,78%,40.0,70000.0,10+ years,OWN,14750.0, 24.20%, 36 months,G,credit_card,519569.0,1
672.0,8.75,0.0,0.0,0.0,66.8%,10.0,120000.0,10+ years,RENT,8750.0, 13.99%, 36 months,C,debt_consolidation,296272.5,0
702.0,22.48,0.0,0.0,0.0,67.8%,17.0,40000.0,5 years,RENT,9600.0, 10.74%, 36 months,B,debt_consolidation,2144089.6,0
712.0,27.74,0.0,1.0,0.0,52.6%,43.0,99000.0,10+ years,MORTGAGE,35000.0, 21.48%, 60 months,E,debt_consolidation,175328.5,0
677.0,26.96,0.0,0.0,0.0,96.5%,25.0,30000.0,1 year,RENT,15000.0, 18.55%, 36 months,D,debt_consolidation,519569.0,0
682.0,19.57,0.0,2.0,0.0,81.1%,49.0,88000.0,10+ years,MORTGAGE,14000.0, 14.65%, 36 months,C,debt_consolidation,418742.3,0
672.0,18.42,0.0,1.0,0.0,69%,40.0,26000.0,4 years,OWN,10000.0, 16.29%, 36 months,C,debt_consolidation,233481.2,0
667.0,22.52,0.0,0.0,0.0,63.7%,40.0,83400.0,4 years,RENT,19125.0, 24.33%, 36 months,G,debt_consolidation,334555.5,0
